===== 阶段1: mixed-b4a 重训（B3 配方 + 高帧段过采样）(2026-09-06 15:50:15) =====
[2026-09-07 02:30:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 65 次)
[2026-09-07 02:40:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 66 次)
[2026-09-07 02:50:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 67 次)
[2026-09-07 03:00:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 68 次)
[2026-09-07 03:10:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 69 次)
[2026-09-07 03:20:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 70 次)
[2026-09-07 03:30:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 71 次)
[2026-09-07 03:40:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 72 次)
[2026-09-07 03:50:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 73 次)
[2026-09-07 04:00:20] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 74 次)
[2026-09-07 04:10:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 75 次)
[2026-09-07 04:20:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 76 次)
[2026-09-07 04:30:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 77 次)
[2026-09-07 04:40:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 78 次)
[2026-09-07 04:50:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 79 次)
[2026-09-07 05:00:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 80 次)
[2026-09-07 05:10:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 81 次)
[2026-09-07 05:20:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 82 次)
[2026-09-07 05:30:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 83 次)
[2026-09-07 05:40:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 84 次)
[2026-09-07 05:50:21] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 85 次)
阶段1 完成（尝试 #1）
===== 阶段2: 同口径评测 b4a (2026-09-08 07:40:38) =====
阶段2 尝试 #1 rc=124
